DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-199a-3p	4648.79076031527	5527.2523259464	5091.9333842807	3558.35862759629	3759.17818060161	2059.28133501969	2416.85488081252	905.027261647727	6762.66825498657	2460.49654100198	2841.51587716509	602.30880001615	3535.5205263728
hsa-miR-199b-3p	4648.79076031527	5527.2523259464	5091.9333842807	3558.35862759629	3759.17818060161	2059.28133501969	2416.85488081252	905.027261647727	6762.66825498657	2460.49654100198	2841.51587716509	602.30880001615	3535.5205263728
hsa-let-7i-5p	2502.89183787083	3744.27122696618	2545.32451721926	2463.66051904023	2871.93290424434	8329.1018696977	2347.66242275715	2800.01246911191	4827.73527268568	4573.1819843225	1722.01304183876	9982.610042183	3154.33887368736
hsa-miR-127-3p	3485.98508371147	5649.65552344514	4771.35966367422	3243.45694019935	2883.23605234193	5540.93266714376	1893.45846542343	959.765823987689	4918.16010763394	2748.82964296645	2358.643898039	524.146589327031	3467.92755050807
hsa-miR-151a-5p	2049.62740097169	2838.64043298358	3318.67436885328	3064.92640403859	2019.53035963743	7347.9317881092	3589.44439585223	2372.65893981202	2778.2524264435	7269.4276719846	4350.74275765968	1695.7437901912	1887.45615794686
hsa-miR-186-5p	3215.03274409609	2455.81651645319	4225.16848745927	3685.21728223396	4367.88900016884	4598.17323854954	1815.70258434142	1433.75759025885	4300.24239422896	2295.17474836132	2899.96728549103	1962.20587208592	3740.82447892745
hsa-miR-29a-3p	3266.27133261513	2079.32568239821	3433.92336135764	3375.94699282334	3360.97553202612	1671.51664764889	3185.07956053363	4648.60490400994	3725.90821860334	2689.35164724945	2201.28579631425	7737.22289875014	2144.32888950175
hsa-miR-205-5p	6109.38404384393	675.892767633509	8552.74246900117	9948.47334260859	5750.19142347908	93.6749598533889	121.343704287685	1.22732202555971	55.6460522758539	0.135177262993187	40.3113160868534	5.01575683566537	1071.67886302771
hsa-miR-25-3p	1461.59960605276	3216.4415599645	1693.54370188986	1871.22223088529	1640.09715882031	5404.92759990892	3682.61443838222	2683.17141227863	2014.61601601869	4325.67241578198	5836.35872444625	4870.09089756292	2529.78366135105
hsa-miR-221-3p	4603.59010694087	2378.8368070539	5957.7564245512	4969.63262295062	5740.02896005189	213.479615621252	770.194267017247	293.084499703658	2342.32900109896	347.40556589249	1042.04752084516	280.255413192803	1431.980501617
