DRR091843_1.hairpin	DRR091838_1.hairpin	DRR091844_1.hairpin	DRR091849_1.hairpin	DRR091841_1.hairpin	DRR091842_1.hairpin	DRR091839_1.hairpin	DRR091845_1.hairpin	DRR091840_1.hairpin	DRR091847_1.hairpin	DRR091846_1.hairpin	DRR091837_1.hairpin	DRR091848_1.hairpin
hsa-mir-133a-2	2432.8885737933	8181.42859456747	4012.01487380925	20.9157206185565	385.492018127588	839.866984985279	7593.37774304389	890.714672454824	7524.93557838531	588.678572607621	84.0976867215555	5901.82627144224	13.742508026589
hsa-mir-133a-1	2432.16525327188	8180.53649680337	4012.01487380925	21.3704101972208	385.492018127588	839.866984985279	7593.00207502118	890.714672454824	7524.52218852768	588.678572607621	84.0976867215555	5901.24429468734	13.742508026589
hsa-mir-24-2	4050.59491994722	6424.88809705321	1838.99005562961	1162.64125264455	1978.31016840603	3189.84493229892	7635.45256158745	1061.82386921342	6076.83090711773	713.997265352565	743.218642549381	3687.69570742469	860.433696998101
hsa-mir-3074	4055.29650333644	6511.12421424961	1744.89575631974	1144.45366949797	1967.41372317001	3121.70884043418	7736.88292771924	1037.13815505655	6144.62684376856	709.607120065322	742.791750738612	3692.93349821879	837.529516953786
hsa-mir-24-1	4053.4882020329	6510.23211648551	1744.0655125023	1142.63491118332	1966.68729348761	3120.63300740474	7735.75592365111	1036.79999458865	6143.80006405331	708.409807714255	742.364858927843	3691.76954470899	837.529516953786
hsa-mir-29a	2160.19673721828	3781.89978794421	2876.24133155132	1628.24338119676	2637.66617679888	2221.23659479027	4159.77201547148	1790.89783801091	4300.08129903664	1816.72194068467	3241.81641098219	3958.31489845325	1173.075754603
hsa-mir-222	909.575555684577	6912.27084217355	2011.95751759628	456.963026557594	773.647611757313	1550.9926174472	6459.61165050412	741.585906109882	7986.69204935473	158.44433445778	71.7178242092453	6673.23646006237	74.4385851440238
hsa-mir-192	3617.68758787786	1624.51002842737	1460.39887487697	7059.5103983415	3965.8217794558	1665.38952957798	1888.85881818754	2428.66848047477	1601.47230844722	2276.88898761117	4809.36314012713	1258.81572084899	3366.53273018024
hsa-let-7i	2799.61207815281	2364.35644078821	3678.81035507666	2525.80060948004	1888.71717424321	2965.71305116493	2624.79247467707	1712.44460945757	2705.22322831146	1259.17348920477	3465.50771982532	2664.58057231026	3771.93671696461
hsa-let-7f-1	2635.77998005137	2970.09082261258	2903.3626295877	4335.46513256384	2228.68626560698	2342.44711610753	2361.44919075713	2943.34871262217	2660.57712368773	815.768815193204	2041.82353090964	2968.95441512302	2577.48372765358
hsa-mir-141	3441.19738065159	2317.37262521224	516.965150325976	3063.24369146121	7198.67600936875	2203.30604429955	1637.53691099433	2413.45125941917	1782.95045594549	3005.65310529355	1210.23828353101	1065.01746146724	940.598327153204
hsa-mir-127	2398.16918876518	2141.03463384167	3130.01919174882	1455.00665172567	1030.07728964495	3411.4665363642	2615.40077410931	1191.00116795212	2300.10116783694	217.511743777053	144.716323850799	4380.83002251075	2025.49298858559
hsa-mir-27a	2569.59615234152	2778.28980333093	1791.94290597468	1187.64917947108	1697.90831099915	2221.9538168099	4184.56610497036	821.053616066938	3003.69070551819	868.450558640124	2006.81840242656	1970.8642804693	1124.59524017587
hsa-let-7g	1762.73211069846	1988.48591618045	2273.20757215073	2404.85318155534	1313.38486578143	1875.89419233903	1461.72427636589	4133.33539917058	1794.52537195905	1214.07472398128	1193.16261110024	2141.09248127759	2286.98237742485
hsa-mir-200c	1640.85260283933	1405.9460762227	439.475727364909	2121.5815740475	5596.17212999163	1939.36834107617	563.502034065494	3525.32287788214	936.74141738291	1636.7259839077	2622.39639355592	668.109314625352	1082.22250709388
hsa-let-7e	2139.22044209713	2321.23838219001	1337.2460419567	1826.03334791572	2738.39775942518	1984.9119393226	1527.84184836291	1778.38590069853	1923.91639739632	344.825957107108	1649.93684862341	1887.64160451858	2083.13517503045
hsa-mir-16-1	1714.63129602409	1859.42910630722	1355.51140594038	2740.41409060957	2103.98250346144	2003.55971183294	2102.238255087	2755.66965293636	1555.58603425061	860.468476299681	1199.13909645101	1398.78113040247	2133.14263479387
hsa-mir-16-2	1657.85063509268	1796.6848968988	1389.55140245542	2594.913425437	1807.8413362692	1816.00615370002	2030.48566274933	2397.21955695985	1507.63281076587	688.055497746127	1012.58737514482	1386.55961854957	2014.04089856343
hsa-mir-181c	2210.46751345691	2388.14571449756	1969.61508290684	190.969623038995	1565.21382234719	1615.9012102236	2917.81353239113	1063.17651108503	2881.32730766058	373.5614535327	823.047411163244	2293.57039106142	768.816976820841
